,retroflex_l,visarga_final,diphthongs_ai,diphthongs_au,monophthongs_e,monophthongs_o,external_sandhi_unresolved,retroflex_assimilation,subjunctive_ati,subjunctive_an,subjunctive_as,subjunctive_at,subjunctive_ama,subjunctive_full,perfect_reduplicated,perfect_periphrastic,perfect_endings,dual_nominative,dual_instrumental,dual_genitive,injunctive_augmentless,injunctive_modal,precative,benedictive,instrumental_archaic_a,instrumental_classical_ena,genitive_plural_thematic,genitive_plural_athematic,particle_sma,particle_ha,particle_vai,particle_id,particle_u,particle_hi,present_participle_ant,present_participle_at,past_participle_ta,past_participle_na,gerund_tvaa,gerund_ya,infinitive_tum,correlatives_ya_ta,conditional_yadi_tarhi,long_compounds,compound_bahuvrīhi,primary_suffixes,secondary_suffixes,ritual_sacrifice,deity_names,priestly_terms,philosophical_terms,cosmological_terms,eschatological_terms,sacrifice_roots,ritual_implements,short_syllables,long_syllables,aorist_is,aorist_root,aorist_sigmatic,action_nouns_ti,agent_nouns_tar,abstract_nouns_tva,pluti_vowels,medial_voiced_aspirates,complex_clusters,n_infix_presents,reduplicated_presents,locative_dual,locative_plural,absolute_construction,verb_nonfinal,subordinators,substrate_lexemes,philosophical_context,reported_speech,connectives,prose_particles,total_words,text_period,approx_date_bce,archaism_index,innovation_index
Rigveda,4.208875646855888,87.08797240081543,9.471538340912655,5.350478281323507,152.36631644974125,135.9887094244943,0.006272541947624275,14.175944801630862,2.214207307511369,6.843343264858083,0.890700956562647,2.3835659400972244,3.079818096283519,18.152736396424654,0.01254508389524855,0.0,150.26501489728713,16.032617218127648,0.1003606711619884,0.06272541947624274,46.03418535361455,0.09408812921436413,0.5833464011290576,0.018817625842872825,109.14222988866238,3.6318017876744553,2.327113062568606,17.69484083424808,0.14426846479535832,0.7840677434530343,0.03136270973812137,1.7876744550729182,2.5403794887878313,3.0547279284930218,0.0,0.0,17.85792692488631,8.599655010192881,0.9283362082483927,36.1235690763682,0.7338874078720402,0.1944488003763525,0.0,2.672102869687941,0.0,25.347342010349696,48.96346244315509,0.08781558726673985,8.681198055511995,0.018817625842872825,0.1003606711619884,0.01254508389524855,0.006272541947624275,7.708954053630234,0.01254508389524855,1285.927552140505,1073.2507448643562,0.570801317233809,8.925827191469343,0.0,18.34091265485338,1.4301395640583348,0.08154304531911556,0.0,209.72871256076525,0.0,38.06805708013172,0.06272541947624274,0.6272541947624275,5.783283675709582,0.0,0.9659714599341384,4.629135957346715,0.03136270973812137,0.006272541947624275,2.4149286498353457,0.4453504782813235,1.2607809314724792,159425.0,Early Vedic,1500,2.1891171397208713,1.7029951387799906
Samaveda,0.0,110.37227079951829,7.434944237918216,4.345777265825435,177.8627153254097,172.6791978637625,0.0,16.807162678674278,2.3561443007487304,0.8377401958217708,0.0,1.2042515314937956,2.9844494476150585,9.424577202994922,0.10471752447772135,0.0,191.5807110319912,16.754803916435417,0.0,0.0,8.48211948269543,0.0,0.314152573433164,0.0,132.15351589088434,3.14152573433164,0.9948164825383528,4.398136028064297,0.3665113356720247,0.3665113356720247,0.0,0.0,1.1518927692549348,3.979265930153411,0.0,0.0,21.362374993455155,12.094874077176815,1.3613278182103776,49.06016021781245,0.5759463846274674,0.0,0.0,50.84035813393371,0.0,29.216189329284255,62.09749201528876,0.10471752447772135,11.204775119116183,0.0,0.10471752447772135,0.05235876223886068,0.0,6.17833394418556,0.0,1581.1299020891145,1281.0094769359653,0.0,5.968898895230117,0.0,22.776061573904393,0.0,0.10471752447772135,0.0,251.53149379548668,0.0,42.67239122467145,0.05235876223886068,0.8377401958217708,6.858997853290749,0.0,0.7330226713440494,3.193884496570501,0.0,0.10471752447772135,2.9844494476150585,0.05235876223886068,1.1518927692549348,19099.0,Early Vedic,1200,0.9075518788069185,25.70815225928059
Yajurveda,0.25089977851605755,61.626176633444075,46.182862679955704,10.330149501661129,202.05218715393133,128.68563122923587,0.0,21.1015365448505,4.836309523809524,12.259482281284606,2.9415836101882613,6.359011627906977,1.7216915836101883,26.958748615725362,0.060562015503875966,0.0,52.33423311184939,16.46421650055371,0.49314784053156147,0.14707918050941307,73.53093853820599,0.15573089700996676,3.581810631229236,0.15573089700996676,121.2797619047619,9.542843300110743,1.4275332225913622,12.38060631229236,0.14707918050941307,1.046857696566999,13.721622369878185,0.28550664451827246,0.7526993355481728,3.3136074197120706,0.0,0.0,16.611295681063122,11.091500553709857,1.4707918050941307,35.76619601328904,0.4066306755260244,0.5537098560354374,0.04325858250276855,16.351744186046513,0.0,50.396248615725355,46.7625276854928,0.3114617940199335,1.790905315614618,0.05191029900332226,0.3114617940199335,0.0865171650055371,0.060562015503875966,20.694905869324472,0.0865171650055371,1304.3327796234773,1274.6919988925802,0.3547203765227021,14.370501107419713,0.0,43.83824750830564,1.2718023255813955,0.00865171650055371,0.0,221.40607696567,0.0,31.777754706533774,0.060562015503875966,0.3201135105204873,2.37922203765227,0.0,3.7548449612403103,13.462070874861574,0.0,0.00865171650055371,11.593300110741971,3.157876522702104,23.316375968992247,115584.0,Early Vedic,1000,1.744762827611665,8.379187430786269
Atharvaveda (Paippalada),0.0,82.48918553718633,18.210013693785196,10.76458478810908,159.08369532688243,114.34764076939122,0.0,18.173738766108336,2.1130145371772664,14.691345709129493,3.1196437802102133,4.860840308699634,3.3463620781906065,29.663822107754672,0.0,0.018137463838431473,122.07420036456303,18.726931413180495,0.48971152363764975,0.1269622468690203,47.96452312073203,0.3718180086878452,1.5416844262666751,0.38995547252627666,107.37378592351432,8.760395033962402,1.342172324043929,18.18280749802755,0.09975605111137309,0.46250532788000254,1.4509971070745178,0.6438799662643172,1.8137463838431471,0.9884917791945154,0.0,0.0,13.603097878823604,12.215581895183597,1.4691345709129493,29.03807960532879,0.308336885253335,0.4080929363647081,0.0,5.223589585468264,0.0,38.587454316262956,39.72104580616492,0.06348112343451015,2.0858083414196193,0.0,0.054412391515294416,0.07254985535372589,0.027206195757647208,5.513789006883168,0.009068731919215737,1237.4828827685026,1141.6535925781498,0.9703543153560837,11.78028276306124,0.0,20.486265405508348,1.206141345255693,0.036274927676862946,0.0,211.8999900243949,0.0,34.98716774433431,0.036274927676862946,0.5350551832337285,3.174056171725508,0.009068731919215737,1.5235469624282436,8.361370829516908,0.08161858727294162,0.0,4.044654435970219,1.5416844262666751,5.477514079206305,110269.0,Early Vedic,800,0.7375901960962131,2.7659632353607995
Atharvaveda (Saunaka),0.12935089369708372,84.43085606773283,16.69802445907808,10.336312323612418,160.12464722483537,119.29680150517403,0.011759172154280339,16.944967074317965,2.4811853245531514,13.20555032925682,2.5987770460959547,4.303857008466603,3.1749764816556914,27.269520225776105,0.0,0.011759172154280339,138.89934148635936,17.96801505174036,0.5056444026340545,0.047036688617121354,48.88287864534337,0.4938852304797743,1.0936030103480714,0.25870178739416744,101.3758231420508,7.478833490122295,1.4463781749764815,17.438852304797745,0.1175917215428034,0.7408278457196613,1.1288805268109126,1.0818438381937912,2.3753527751646284,1.211194731890875,0.0,0.0,14.099247412982127,10.736124176857949,1.7873941674506113,29.762464722483536,0.29397930385700843,0.2704609595484478,0.0,5.644402634054563,0.0,36.70037629350894,39.55785512699906,0.10583254938852305,4.127469426152399,0.0,0.10583254938852305,0.15286923800564442,0.03527751646284102,6.761523988711195,0.023518344308560677,1245.5315145813734,1127.469426152399,0.7878645343367827,10.900752587017873,0.0,20.778457196613356,1.2582314205079963,0.023518344308560677,0.0,210.98306679209782,0.0,33.819379115710255,0.03527751646284102,0.5056444026340545,3.598306679209784,0.011759172154280339,1.4581373471307622,6.843838193791157,0.07055503292568203,0.011759172154280339,4.127469426152399,1.2464722483537158,4.727187206020696,85040.0,Early Vedic,600,0.9093759799310127,2.9691909689557856
Kausitaki-Br,0.02560360498758225,64.67470619863276,44.08940778861663,14.389226003021225,167.54999103873826,83.2373198146299,0.02560360498758225,24.45144276314105,5.018306577566121,11.496018639424431,1.203369434416366,8.42358604091456,2.7907929436464656,31.62045215966408,0.0,0.0,129.91269170699235,16.693550451903626,0.7681081496274675,0.12801802493791126,89.4589958266124,0.0512072099751645,5.376757047392273,0.12801802493791126,85.82328391837571,10.77911769977213,3.9173515631000844,23.964974268376988,1.5874235092300997,10.062216760119826,20.4828839900658,0.8449189645902143,4.608648897764805,5.12072099751645,0.0,0.0,16.181478352151984,17.64088383644417,3.1236398084850348,45.13915559310751,0.819315359602632,0.3328468648385693,0.0,2.713982128683719,0.0,84.64551808894693,52.87144429935735,1.2545766443915303,2.4835496837954785,0.4352612847888983,1.8434595591059222,0.17922523491307576,0.17922523491307576,18.972271295798446,0.17922523491307576,1347.1592800266276,1056.6095706275444,0.35845046982615153,22.223929129221393,0.0,82.28998643008936,1.4850090892797707,0.0512072099751645,0.0,180.96628005223135,0.204828839900658,27.62628978160125,0.0512072099751645,0.5888829147143918,3.3284686483856927,0.0,7.245820211485777,38.61023632127404,0.0,0.0,39.94162378062831,13.774739483319252,51.079191950226594,39057.0,Late Vedic,900,2.2104445639279344,1.7666487441431755
Pancavimsa-Br,0.7013770369158113,62.72648633483739,57.1154700395109,15.710845626914175,193.4164075468169,131.2977813106399,0.0,40.890281252191805,3.4133682463236155,14.19119538026325,2.3145442218221772,6.1721179248591405,4.114745283239427,34.90519720384354,0.18703387651088302,0.0,71.70411240735979,17.417529750075982,0.5143431604049283,0.023379234563860377,85.00689687419634,0.07013770369158115,2.3145442218221772,0.023379234563860377,78.13340191242139,15.173123231945386,1.659925654034087,10.029691627896103,0.07013770369158115,0.4442054567133472,18.44621607088584,0.1168961728193019,1.1222032590652984,3.3666097771958943,0.0,0.0,19.03069693498235,17.020082762490354,1.1923409627568793,31.819138241413977,0.3273092838940453,0.2337923456386038,0.0,25.062539452458324,0.0,81.80394173894746,40.5395927337339,0.25717158020246417,1.1455824936291585,0.07013770369158115,0.16365464194702264,0.023379234563860377,0.07013770369158115,12.578028195356882,0.0,1436.9812732331145,1299.1139270100296,0.09351693825544151,22.444065181305962,0.0,80.58822154162674,0.2805508147663246,0.023379234563860377,0.0,260.07060528838286,0.0,35.559815771631634,0.25717158020246417,0.37406775302176604,4.395296098005751,0.09351693825544151,19.451523157131838,18.703387651088303,0.0,0.0,15.383536343020129,2.9224043204825474,35.5831950061955,42773.0,Late Vedic,850,1.3949609956436693,12.694924368176185
Satapatha-Br,0.0,69.15912284715186,94.3494885453773,16.19007157096637,265.8518252230465,155.07042713814175,0.0,30.262426876695315,14.667145985162914,0.5228929049968953,0.0,2.4641328147978694,3.104676623419066,13.6082878525442,0.20262100068629693,0.0,150.18791463773326,20.340534004379226,0.3725611948102879,0.0,6.503480505898886,0.05882545181215072,1.9150952645511292,0.013072322624922382,121.13467760384326,12.209549331677504,1.3464492303670055,7.124415830582699,0.3333442269355208,7.353181476518841,21.020294780875194,0.0,1.7451550704271381,6.52962515114873,0.0,0.0,22.935390045426324,18.412366417203177,3.8432628517271805,38.45877316252165,0.05228929049968953,0.11111474231184026,0.006536161312461191,144.01777835876987,0.0,123.52691264420406,50.884015817510374,0.49674825974705056,0.5882545181215073,0.03268080656230596,0.5686460341841236,0.2418379685610641,0.05228929049968953,24.124971404294257,0.15686787149906858,1896.316873100428,1796.3136050197718,0.006536161312461191,1.8170528448642114,0.0,121.78829373508938,0.0,0.16994019412399097,0.0,307.624432170986,0.35295271087290436,43.171345468806166,0.21569332331121932,0.49674825974705056,3.8171182064773355,0.08497009706199549,10.170267002189613,14.020066015229256,0.03268080656230596,0.006536161312461191,35.31487957122781,8.059086898264649,27.634890029085916,152995.0,Late Vedic,800,5.000163404032812,72.03503382463478
Gopatha-Br,0.5012028869286287,65.056134723336,54.66452820101577,12.931034482758621,211.37396418070034,108.86126704089816,0.03341352579524191,26.797647687784014,4.87837476610532,16.138732959101844,3.3747661053194333,11.761561079925153,1.3365410318096766,40.86474204758086,0.03341352579524191,0.0,92.72253408179631,15.236567762630312,0.7016840417000801,0.03341352579524191,97.23336006415397,0.16706762897620958,6.3485699010959635,0.13365410318096765,76.38331996792301,8.921411387329591,1.3031275060144347,11.89521518310612,0.36754878374766103,8.55386260358193,15.036086607858861,0.0,2.1384656508954825,3.040630847367014,0.0,0.0,14.50147019513499,11.260358192996526,1.937984496124031,27.499331729484098,0.4343758353381449,0.2673082063619353,0.0,27.632985832665064,0.0,87.91098636728148,36.38732959101844,0.40096230954290296,0.36754878374766103,0.06682705159048383,0.40096230954290296,0.06682705159048383,0.06682705159048383,23.79043036621224,0.0,1352.9804865009355,1340.483827853515,0.03341352579524191,19.747393744987974,0.0,86.87516706762898,0.6682705159048383,0.06682705159048383,0.0,230.68698209035017,0.0,32.444533547179894,0.0,0.8019246190858059,3.9427960438385456,0.0,6.28174284950548,28.06736166800321,0.0,0.0,29.069767441860463,8.620689655172413,32.74525527933707,29928.0,Late Vedic,750,1.9157088122605364,14.033680834001604
Aitareya-Up,0.0,70.94133697135062,54.570259208731244,5.457025920873124,163.71077762619373,111.86903137789903,0.0,19.099590723055933,1.364256480218281,13.642564802182811,1.364256480218281,1.364256480218281,4.092769440654843,36.834924965893585,1.364256480218281,0.0,109.14051841746249,13.642564802182811,2.728512960436562,0.0,136.4256480218281,0.0,0.0,0.0,100.9549795361528,12.278308321964529,0.0,12.278308321964529,0.0,2.728512960436562,6.8212824010914055,0.0,0.0,2.728512960436562,0.0,0.0,15.006821282401091,13.642564802182811,12.278308321964529,17.735334242837656,9.549795361527966,0.0,0.0,31.377899045020467,0.0,46.384720327421554,21.828103683492497,0.0,1.364256480218281,0.0,0.0,0.0,0.0,0.0,0.0,1126.8758526603003,1350.6139154160983,0.0,66.84856753069577,0.0,46.384720327421554,0.0,0.0,0.0,201.9099590723056,0.0,49.113233287858115,0.0,0.0,0.0,0.0,4.092769440654843,36.834924965893585,0.0,0.0,19.099590723055933,2.728512960436562,21.828103683492497,733.0,Latest Vedic,700,0.45475216007276037,20.463847203274216
Taittiriya-Up,0.0,125.98814229249011,24.209486166007903,12.351778656126482,212.4505928853755,125.98814229249011,0.0,19.268774703557312,1.976284584980237,4.940711462450593,0.0,11.857707509881422,0.9881422924901185,34.58498023715415,0.0,0.0,62.25296442687747,13.3399209486166,0.0,0.49407114624505927,27.17391304347826,0.0,4.940711462450593,0.49407114624505927,90.9090909090909,7.905138339920948,0.0,5.928853754940711,0.49407114624505927,0.9881422924901185,1.976284584980237,0.0,0.0,2.4703557312252964,0.0,0.0,11.857707509881422,14.822134387351777,3.952569169960474,34.090909090909086,0.0,0.0,0.0,69.1699604743083,0.0,91.89723320158103,40.0197628458498,0.0,1.4822134387351777,0.0,0.0,0.0,0.0,1.4822134387351777,0.0,1612.6482213438735,1513.8339920948615,0.0,6.4229249011857705,0.0,76.58102766798419,0.0,0.0,0.0,253.95256916996044,0.0,69.1699604743083,0.49407114624505927,1.4822134387351777,2.9644268774703555,0.0,10.375494071146246,15.316205533596838,0.0,0.0,24.209486166007903,2.9644268774703555,11.363636363636363,2024.0,Latest Vedic,650,0.8234519104084321,34.58498023715415
Chandogya-Up,0.6411626415900834,66.39595355132863,32.841775308114265,9.831160504381279,196.33824891358555,116.9053216499252,0.0,13.891857234451805,3.205813207950417,17.952553964522334,1.5672864572202037,6.76782788345088,6.6965875899408704,37.044952625204814,0.07124029351000925,0.0,126.80772244781649,11.46968725511149,0.07124029351000925,0.07124029351000925,78.72052432856023,0.07124029351000925,3.9182161430505094,0.0,68.24820118258887,7.408990525040963,1.139844696160148,7.693951699081,0.1424805870200185,12.324570777231601,7.266509938020945,0.0,2.137208805300278,1.2823252831801668,0.0,0.0,9.759920210871268,10.258602265441334,1.638526750730213,33.48293794970436,0.4986820545700648,0.35620146755004634,0.0,14.817981050081926,0.0,90.7601339317518,40.89192847474531,0.07124029351000925,0.0,0.0,0.07124029351000925,0.1424805870200185,0.0,7.124029351000926,0.0,1228.8950630476597,1252.6180807864928,0.0,13.53565576690176,0.0,89.40656835506162,0.7836432286101018,0.0,0.0,203.1060767970364,0.0,38.327277908384985,0.07124029351000925,0.21372088053002777,4.274417610600556,0.0,13.963097527961816,30.91828738334402,0.0,0.0,30.562085915793975,12.253330483721593,25.717745957113344,14037.0,Latest Vedic,600,1.3298188121868395,7.658331552325995
Brhadaranyaka-Up,0.0,75.19525337531029,43.7730822788642,17.012774716958287,195.91935581522068,114.42755948416783,0.0,20.221589877096324,1.9373978325361747,10.050251256281408,1.3925046921353756,15.801901071623176,3.0877277956045286,36.20512199551977,0.0,0.0,118.48398619604045,14.651571108554823,0.7265241872010656,0.0,81.67342737785312,0.24217472906702184,6.235999273475813,0.12108736453351092,71.68371980383847,7.265241872010656,1.2714173276018648,8.294484470545498,0.24217472906702184,6.296542955742568,11.927105406550826,0.0,1.9979415148029303,4.54077617000666,0.0,0.0,12.471998546951626,10.716231761215717,3.9958830296058605,32.63304474178119,0.5448931404007992,0.9686989162680874,0.0,13.440697463219712,0.0,78.82787431131563,39.2928497911243,0.3027184113337773,0.3632620936005328,0.0,1.0292425985348428,1.4530483744021312,0.0,6.4176303202760785,0.0,1271.5989586486648,1203.5478597808317,0.12108736453351092,13.985590603620512,0.0,76.70884543197917,0.787067869467821,0.0,0.0,186.7772597929406,0.0,39.535024520191314,0.06054368226675546,0.24217472906702184,2.300659926136708,0.0,8.778833928679543,26.760307561905915,0.0,0.0,25.912696010171338,6.4176303202760785,28.8187927589756,16517.0,Latest Vedic,520,0.7265241872010656,6.992795301810255
Prashna-Up,0.0,91.83673469387756,53.57142857142857,12.755102040816327,213.43537414965985,104.59183673469389,0.0,28.911564625850342,0.8503401360544217,18.707482993197278,1.7006802721088434,3.401360544217687,2.5510204081632653,27.210884353741495,0.0,0.0,71.42857142857143,13.605442176870747,0.8503401360544217,0.0,42.517006802721085,0.0,1.7006802721088434,0.0,64.62585034013605,5.952380952380952,0.8503401360544217,4.251700680272109,0.0,17.006802721088437,16.156462585034014,0.0,0.0,1.7006802721088434,0.0,0.0,15.306122448979592,9.353741496598639,0.8503401360544217,15.306122448979592,0.0,0.0,0.0,22.95918367346939,0.0,57.823129251700685,24.65986394557823,0.0,0.0,0.0,0.8503401360544217,1.7006802721088434,0.0,2.5510204081632653,0.0,1387.7551020408164,1268.7074829931973,0.0,10.204081632653061,0.0,57.823129251700685,0.0,0.0,0.0,198.12925170068027,0.0,44.21768707482993,0.0,0.0,5.952380952380952,0.0,5.1020408163265305,17.006802721088437,0.0,0.0,14.455782312925171,10.204081632653061,34.86394557823129,1176.0,Latest Vedic,480,0.2834467120181406,11.479591836734695
Shvetashvatara-Up,1.160092807424594,98.02784222737819,32.48259860788863,4.640371229698376,217.51740139211137,134.5707656612529,0.0,24.94199535962877,5.800464037122969,16.241299303944317,4.640371229698376,6.960556844547564,1.740139211136891,38.8631090487239,0.0,0.0,131.0904872389791,15.081206496519721,0.0,0.0,49.88399071925754,0.0,0.0,0.0,79.46635730858469,9.860788863109049,1.160092807424594,6.960556844547564,0.580046403712297,2.9002320185614847,2.9002320185614847,0.0,1.160092807424594,2.320185614849188,0.0,0.0,8.700696055684455,10.440835266821345,8.700696055684455,37.12296983758701,0.0,2.320185614849188,0.0,37.12296983758701,0.0,38.2830626450116,49.303944315545245,0.0,1.740139211136891,0.0,1.160092807424594,0.580046403712297,0.0,0.580046403712297,0.0,1351.508120649652,1340.4872389791183,0.0,10.440835266821345,0.0,35.96287703016241,0.0,0.0,0.0,240.71925754060325,0.0,46.403712296983755,0.0,0.0,6.960556844547564,0.0,2.320185614849188,3.480278422273782,0.0,0.0,4.060324825986079,0.580046403712297,13.341067285382831,1724.0,Latest Vedic,450,2.5135344160866198,18.561484918793504
Ramayana,0.009351606372184582,116.7641571630967,42.49369935520674,21.08787236927623,148.6624864986183,91.26700238933543,0.0,23.304203079483976,0.6873430683555667,20.073223077894205,3.6985603201990025,4.507474271392969,4.572935515998261,38.41639897693426,0.0,0.0514338350470152,176.46481224312308,23.598778680207793,0.18703212744369166,0.2665207816072606,35.36309949641599,0.09819186690793812,1.5336634450382713,0.014027409558276874,90.28040791706995,12.376851033586295,0.8650235894270738,17.637129617940122,0.738776903402582,1.3139006952919339,1.2110330251979036,0.0,0.004675803186092291,4.820753084861152,0.0,0.0,6.003731290942502,13.933893494555026,9.763077052560705,42.42823811060145,2.9504318104242353,0.023379015930461457,0.0,42.91919744514114,0.0,17.300471788541476,56.23588491913198,0.1636531115132302,0.028054819116553747,0.1636531115132302,0.7855349352635049,0.0,0.0,1.3139006952919339,0.0,1439.4787414608143,1476.5718881360845,0.004675803186092291,8.01900246414828,0.0,15.766808343503206,0.004675803186092291,0.0514338350470152,0.0,298.28818845357165,0.004675803186092291,54.435700692486456,0.009351606372184582,0.4722561217953214,4.002487527295001,0.06546124460529208,0.6359092333085515,7.89743158130988,0.09819186690793812,0.004675803186092291,11.371553348576452,5.971000668639856,17.604398995637474,213867.0,Classical,200,0.4784905260434444,22.934814627782686
Mahabharata,0.1296335464326895,111.26651974864737,40.650351033998106,20.563974155164534,156.07878990495814,92.20356560480872,0.0,30.736796141014008,0.5390026404306564,23.088416901485328,3.9094748476805834,6.481677321634474,3.0975594779179487,41.26440467499505,0.0,0.10916509173279115,183.01527629002436,21.54645998075965,0.08869663703289281,0.32749527519837346,43.52275751021717,0.06140536409969501,2.1628333799559245,0.013645636466598894,88.92861285282498,10.582191079847442,0.9551945526619225,16.115496667053293,0.9279032797287248,1.193993190827403,3.513751390149215,0.0,0.047759727633096126,3.759372846547995,0.0,0.0,10.24105016818247,14.423437745195029,9.060702613821666,36.43384936581904,2.3606951087216084,0.027291272933197788,0.0,34.700853534560984,0.0,19.22670178143784,48.74903627692455,0.5048885492641592,0.054582545866395576,0.49806573103085955,1.2349301002271997,0.027291272933197788,0.0,1.6306535577585677,0.0,1381.1840318762067,1427.6610696814428,0.0,11.278118539643986,0.0,17.73250458834526,0.13645636466598896,0.013645636466598894,0.0,295.42802950186604,0.0,50.13406837828433,0.04093690939979668,0.5662939133638542,4.9943029467751945,0.03411409116649724,0.764155642129538,8.835549612122783,0.047759727633096126,0.013645636466598894,17.405009313146888,6.624956504533762,20.22965606173286,146567.0,Classical,300,0.5321798221973569,18.530774321641296
Bhagavata-Purana,0.09479766880167503,93.83320556256233,28.323894782830905,12.162953071032305,117.03390459232881,94.76881733725713,0.0,16.81216048008837,1.116963836750171,17.133648226459265,1.3065591743535212,4.867654211077314,2.8645382529201804,28.91741062228487,0.06182456660978807,0.004121637773985871,148.99720552958922,11.157273454179753,0.10304094434964677,0.1854736998293642,36.913387903817465,0.020608188869929357,1.2859509854835918,0.012364913321957613,57.4968469471029,7.979490730436646,0.832570830345146,9.89193065756609,0.5646643750360644,0.7295298859954992,2.044332335896992,0.004121637773985871,0.1731087865074066,1.8176422583277692,0.0,2.8274435129543076,18.209395685469577,14.067149722613777,2.9139979062080106,34.473378341617824,0.7171649726735416,0.06594620438377394,0.008243275547971742,34.11479585528106,0.49047489510431863,17.39743304399436,40.981444386741515,0.7336515237694851,0.34209593524082726,0.4286503284945306,2.3575768067199183,0.3173661085969121,0.05770292883580219,1.6816282117862353,0.004121637773985871,1147.5381457575982,1091.7888732266654,0.012364913321957613,10.510176323663972,0.0,15.588034061214563,0.478109981782361,0.48223161955634686,0.0,228.18623208117978,0.0,39.893332014409246,0.008243275547971742,0.9644632391126937,3.878461145320705,0.03297310219188697,0.0865543932537033,7.773408841737353,0.0865543932537033,0.053581291061816326,10.83990734558284,2.0031159581571334,7.2087444667012885,242622.0,Classical,800,0.5921419601959701,17.4159804139773
