text_name,verb_nonfinal_ensemble,dual_instrumental_ensemble,particle_hi_ensemble,ritual_implements_ensemble,retroflex_l_ensemble,complex_clusters_ensemble,subjunctive_full_ensemble,pluti_vowels_ensemble,injunctive_augmentless_ensemble,aorist_is_ensemble,abstract_nouns_tva_ensemble,infinitive_tum_ensemble,gerund_tvaa_ensemble,dual_nominative_ensemble,action_nouns_ti_ensemble,sacrifice_roots_ensemble,present_participle_ant_ensemble,subjunctive_ati_ensemble,subjunctive_an_ensemble,diphthongs_ai_ensemble,locative_dual_ensemble,connectives_ensemble,diphthongs_au_ensemble,gerund_ya_ensemble,philosophical_context_ensemble,external_sandhi_unresolved_ensemble,n_infix_presents_ensemble,genitive_plural_thematic_ensemble,perfect_endings_ensemble,substrate_lexemes_ensemble,subjunctive_as_ensemble,particle_ha_ensemble,particle_sma_ensemble,benedictive_ensemble,absolute_construction_ensemble,long_syllables_ensemble,reported_speech_ensemble,visarga_final_ensemble,compound_bahuvrīhi_ensemble,medial_voiced_aspirates_ensemble,particle_id_ensemble,injunctive_modal_ensemble,cosmological_terms_ensemble,short_syllables_ensemble,agent_nouns_tar_ensemble,priestly_terms_ensemble,reduplicated_presents_ensemble,prose_particles_ensemble,particle_u_ensemble,correlatives_ya_ta_ensemble,present_participle_at_ensemble,aorist_root_ensemble,monophthongs_e_ensemble,conditional_yadi_tarhi_ensemble,precative_ensemble,monophthongs_o_ensemble,total_words_ensemble,aorist_sigmatic_ensemble,retroflex_assimilation_ensemble,subordinators_ensemble,secondary_suffixes_ensemble,deity_names_ensemble,past_participle_ta_ensemble,genitive_plural_athematic_ensemble,subjunctive_at_ensemble,instrumental_archaic_a_ensemble,instrumental_classical_ena_ensemble,ritual_sacrifice_ensemble,past_participle_na_ensemble,perfect_reduplicated_ensemble,dual_genitive_ensemble,perfect_periphrastic_ensemble,locative_plural_ensemble,philosophical_terms_ensemble,particle_vai_ensemble,subjunctive_ama_ensemble,primary_suffixes_ensemble,eschatological_terms_ensemble,long_compounds_ensemble,retroflex_l_regex,visarga_final_regex,diphthongs_ai_regex,diphthongs_au_regex,monophthongs_e_regex,monophthongs_o_regex,external_sandhi_unresolved_regex,retroflex_assimilation_regex,subjunctive_ati_regex,subjunctive_an_regex,subjunctive_as_regex,subjunctive_at_regex,subjunctive_ama_regex,subjunctive_full_regex,perfect_reduplicated_regex,perfect_periphrastic_regex,perfect_endings_regex,dual_nominative_regex,dual_instrumental_regex,dual_genitive_regex,injunctive_augmentless_regex,injunctive_modal_regex,precative_regex,benedictive_regex,instrumental_archaic_a_regex,instrumental_classical_ena_regex,genitive_plural_thematic_regex,genitive_plural_athematic_regex,particle_sma_regex,particle_ha_regex,particle_vai_regex,particle_id_regex,particle_u_regex,particle_hi_regex,present_participle_ant_regex,present_participle_at_regex,past_participle_ta_regex,past_participle_na_regex,gerund_tvaa_regex,gerund_ya_regex,infinitive_tum_regex,correlatives_ya_ta_regex,conditional_yadi_tarhi_regex,long_compounds_regex,compound_bahuvrīhi_regex,primary_suffixes_regex,secondary_suffixes_regex,ritual_sacrifice_regex,deity_names_regex,priestly_terms_regex,philosophical_terms_regex,cosmological_terms_regex,eschatological_terms_regex,sacrifice_roots_regex,ritual_implements_regex,short_syllables_regex,long_syllables_regex,aorist_is_regex,aorist_root_regex,aorist_sigmatic_regex,action_nouns_ti_regex,agent_nouns_tar_regex,abstract_nouns_tva_regex,pluti_vowels_regex,medial_voiced_aspirates_regex,complex_clusters_regex,n_infix_presents_regex,reduplicated_presents_regex,locative_dual_regex,locative_plural_regex,absolute_construction_regex,verb_nonfinal_regex,subordinators_regex,substrate_lexemes_regex,philosophical_context_regex,reported_speech_regex,connectives_regex,prose_particles_regex,total_words_regex
Rigveda,0.9659714599341384,0.1003606711619884,3.0547279284930218,0.01254508389524855,4.208875646855888,0.0,18.152736396424654,0.0,46.03418535361455,0.570801317233809,0.08154304531911556,0.7338874078720402,0.9283362082483927,16.032617218127648,18.34091265485338,7.708954053630234,0.0,2.214207307511369,6.843343264858083,9.471538340912655,0.6272541947624275,0.4453504782813235,5.350478281323507,36.1235690763682,0.006272541947624275,0.006272541947624275,38.06805708013172,2.327113062568606,150.26501489728713,0.03136270973812137,0.890700956562647,0.7840677434530343,0.14426846479535832,0.018817625842872825,0.0,1073.2507448643562,2.4149286498353457,87.08797240081543,0.0,209.72871256076525,1.7876744550729182,0.09408812921436413,0.01254508389524855,1285.927552140505,1.4301395640583348,0.018817625842872825,0.06272541947624274,1.2607809314724792,2.5403794887878313,0.1944488003763525,0.0,8.925827191469343,152.36631644974125,0.0,0.5833464011290576,135.9887094244943,159425,0.0,14.175944801630862,4.629135957346715,48.96346244315509,8.681198055511995,17.85792692488631,17.69484083424808,2.3835659400972244,109.14222988866238,3.6318017876744553,0.08781558726673985,8.599655010192881,0.01254508389524855,0.06272541947624274,0.0,5.783283675709582,0.1003606711619884,0.03136270973812137,3.079818096283519,25.347342010349696,0.006272541947624275,2.672102869687941,4.208875646855888,87.08797240081543,9.471538340912655,5.350478281323507,152.36631644974125,135.9887094244943,0.006272541947624275,14.175944801630862,2.214207307511369,6.843343264858083,0.890700956562647,2.3835659400972244,3.079818096283519,18.152736396424654,0.01254508389524855,0.0,150.26501489728713,16.032617218127648,0.1003606711619884,0.06272541947624274,46.03418535361455,0.09408812921436413,0.5833464011290576,0.018817625842872825,109.14222988866238,3.6318017876744553,2.327113062568606,17.69484083424808,0.14426846479535832,0.7840677434530343,0.03136270973812137,1.7876744550729182,2.5403794887878313,3.0547279284930218,0.0,0.0,17.85792692488631,8.599655010192881,0.9283362082483927,36.1235690763682,0.7338874078720402,0.1944488003763525,0.0,2.672102869687941,0.0,25.347342010349696,48.96346244315509,0.08781558726673985,8.681198055511995,0.018817625842872825,0.1003606711619884,0.01254508389524855,0.006272541947624275,7.708954053630234,0.01254508389524855,1285.927552140505,1073.2507448643562,0.570801317233809,8.925827191469343,0.0,18.34091265485338,1.4301395640583348,0.08154304531911556,0.0,209.72871256076525,0.0,38.06805708013172,0.06272541947624274,0.6272541947624275,5.783283675709582,0.0,0.9659714599341384,4.629135957346715,0.03136270973812137,0.006272541947624275,2.4149286498353457,0.4453504782813235,1.2607809314724792,159425
Samaveda,0.7330226713440494,0.0,3.979265930153411,0.0,0.0,0.0,9.424577202994922,0.0,8.48211948269543,0.0,0.10471752447772135,0.5759463846274674,1.3613278182103776,16.754803916435417,22.776061573904393,6.17833394418556,0.0,2.3561443007487304,0.8377401958217708,7.434944237918216,0.8377401958217708,0.05235876223886068,4.345777265825435,49.06016021781245,0.10471752447772135,0.0,42.67239122467145,0.9948164825383528,191.5807110319912,0.0,0.0,0.3665113356720247,0.3665113356720247,0.0,0.0,1281.0094769359653,2.9844494476150585,110.37227079951829,0.0,251.53149379548668,0.0,0.0,0.05235876223886068,1581.1299020891145,0.0,0.0,0.05235876223886068,1.1518927692549348,1.1518927692549348,0.0,0.0,5.968898895230117,177.8627153254097,0.0,0.314152573433164,172.6791978637625,19099,0.0,16.807162678674278,3.193884496570501,62.09749201528876,11.204775119116183,21.362374993455155,4.398136028064297,1.2042515314937956,132.15351589088434,3.14152573433164,0.10471752447772135,12.094874077176815,0.10471752447772135,0.0,0.0,6.858997853290749,0.10471752447772135,0.0,2.9844494476150585,29.216189329284255,0.0,50.84035813393371,0.0,110.37227079951829,7.434944237918216,4.345777265825435,177.8627153254097,172.6791978637625,0.0,16.807162678674278,2.3561443007487304,0.8377401958217708,0.0,1.2042515314937956,2.9844494476150585,9.424577202994922,0.10471752447772135,0.0,191.5807110319912,16.754803916435417,0.0,0.0,8.48211948269543,0.0,0.314152573433164,0.0,132.15351589088434,3.14152573433164,0.9948164825383528,4.398136028064297,0.3665113356720247,0.3665113356720247,0.0,0.0,1.1518927692549348,3.979265930153411,0.0,0.0,21.362374993455155,12.094874077176815,1.3613278182103776,49.06016021781245,0.5759463846274674,0.0,0.0,50.84035813393371,0.0,29.216189329284255,62.09749201528876,0.10471752447772135,11.204775119116183,0.0,0.10471752447772135,0.05235876223886068,0.0,6.17833394418556,0.0,1581.1299020891145,1281.0094769359653,0.0,5.968898895230117,0.0,22.776061573904393,0.0,0.10471752447772135,0.0,251.53149379548668,0.0,42.67239122467145,0.05235876223886068,0.8377401958217708,6.858997853290749,0.0,0.7330226713440494,3.193884496570501,0.0,0.10471752447772135,2.9844494476150585,0.05235876223886068,1.1518927692549348,19099
Yajurveda,3.7548449612403103,0.49314784053156147,3.3136074197120706,0.0865171650055371,0.25089977851605755,0.0,26.958748615725362,0.0,73.53093853820599,0.3547203765227021,0.00865171650055371,0.4066306755260244,1.4707918050941307,16.46421650055371,43.83824750830564,20.694905869324472,0.0,4.836309523809524,12.259482281284606,46.182862679955704,0.3201135105204873,3.157876522702104,10.330149501661129,35.76619601328904,0.00865171650055371,0.0,31.777754706533774,1.4275332225913622,52.33423311184939,0.0,2.9415836101882613,1.046857696566999,0.14707918050941307,0.15573089700996676,0.0,1274.6919988925802,11.593300110741971,61.626176633444075,0.0,221.40607696567,0.28550664451827246,0.15573089700996676,0.0865171650055371,1304.3327796234773,1.2718023255813955,0.05191029900332226,0.060562015503875966,23.316375968992247,0.7526993355481728,0.5537098560354374,0.0,14.370501107419713,202.05218715393133,0.04325858250276855,3.581810631229236,128.68563122923587,115584,0.0,21.1015365448505,13.462070874861574,46.7625276854928,1.790905315614618,16.611295681063122,12.38060631229236,6.359011627906977,121.2797619047619,9.542843300110743,0.3114617940199335,11.091500553709857,0.060562015503875966,0.14707918050941307,0.0,2.37922203765227,0.3114617940199335,13.721622369878185,1.7216915836101883,50.396248615725355,0.060562015503875966,16.351744186046513,0.25089977851605755,61.626176633444075,46.182862679955704,10.330149501661129,202.05218715393133,128.68563122923587,0.0,21.1015365448505,4.836309523809524,12.259482281284606,2.9415836101882613,6.359011627906977,1.7216915836101883,26.958748615725362,0.060562015503875966,0.0,52.33423311184939,16.46421650055371,0.49314784053156147,0.14707918050941307,73.53093853820599,0.15573089700996676,3.581810631229236,0.15573089700996676,121.2797619047619,9.542843300110743,1.4275332225913622,12.38060631229236,0.14707918050941307,1.046857696566999,13.721622369878185,0.28550664451827246,0.7526993355481728,3.3136074197120706,0.0,0.0,16.611295681063122,11.091500553709857,1.4707918050941307,35.76619601328904,0.4066306755260244,0.5537098560354374,0.04325858250276855,16.351744186046513,0.0,50.396248615725355,46.7625276854928,0.3114617940199335,1.790905315614618,0.05191029900332226,0.3114617940199335,0.0865171650055371,0.060562015503875966,20.694905869324472,0.0865171650055371,1304.3327796234773,1274.6919988925802,0.3547203765227021,14.370501107419713,0.0,43.83824750830564,1.2718023255813955,0.00865171650055371,0.0,221.40607696567,0.0,31.777754706533774,0.060562015503875966,0.3201135105204873,2.37922203765227,0.0,3.7548449612403103,13.462070874861574,0.0,0.00865171650055371,11.593300110741971,3.157876522702104,23.316375968992247,115584
Atharvaveda (Paippalada),1.5235469624282436,0.48971152363764975,0.9884917791945154,0.009068731919215737,0.0,0.0,29.663822107754672,0.0,47.96452312073203,0.9703543153560837,0.036274927676862946,0.308336885253335,1.4691345709129493,18.726931413180495,20.486265405508348,5.513789006883168,0.0,2.1130145371772664,14.691345709129493,18.210013693785196,0.5350551832337285,1.5416844262666751,10.76458478810908,29.03807960532879,0.0,0.0,34.98716774433431,1.342172324043929,122.07420036456303,0.08161858727294162,3.1196437802102133,0.46250532788000254,0.09975605111137309,0.38995547252627666,0.009068731919215737,1141.6535925781498,4.044654435970219,82.48918553718633,0.0,211.8999900243949,0.6438799662643172,0.3718180086878452,0.07254985535372589,1237.4828827685026,1.206141345255693,0.0,0.036274927676862946,5.477514079206305,1.8137463838431471,0.4080929363647081,0.0,11.78028276306124,159.08369532688243,0.0,1.5416844262666751,114.34764076939122,110269,0.0,18.173738766108336,8.361370829516908,39.72104580616492,2.0858083414196193,13.603097878823604,18.18280749802755,4.860840308699634,107.37378592351432,8.760395033962402,0.06348112343451015,12.215581895183597,0.0,0.1269622468690203,0.018137463838431473,3.174056171725508,0.054412391515294416,1.4509971070745178,3.3463620781906065,38.587454316262956,0.027206195757647208,5.223589585468264,0.0,82.48918553718633,18.210013693785196,10.76458478810908,159.08369532688243,114.34764076939122,0.0,18.173738766108336,2.1130145371772664,14.691345709129493,3.1196437802102133,4.860840308699634,3.3463620781906065,29.663822107754672,0.0,0.018137463838431473,122.07420036456303,18.726931413180495,0.48971152363764975,0.1269622468690203,47.96452312073203,0.3718180086878452,1.5416844262666751,0.38995547252627666,107.37378592351432,8.760395033962402,1.342172324043929,18.18280749802755,0.09975605111137309,0.46250532788000254,1.4509971070745178,0.6438799662643172,1.8137463838431471,0.9884917791945154,0.0,0.0,13.603097878823604,12.215581895183597,1.4691345709129493,29.03807960532879,0.308336885253335,0.4080929363647081,0.0,5.223589585468264,0.0,38.587454316262956,39.72104580616492,0.06348112343451015,2.0858083414196193,0.0,0.054412391515294416,0.07254985535372589,0.027206195757647208,5.513789006883168,0.009068731919215737,1237.4828827685026,1141.6535925781498,0.9703543153560837,11.78028276306124,0.0,20.486265405508348,1.206141345255693,0.036274927676862946,0.0,211.8999900243949,0.0,34.98716774433431,0.036274927676862946,0.5350551832337285,3.174056171725508,0.009068731919215737,1.5235469624282436,8.361370829516908,0.08161858727294162,0.0,4.044654435970219,1.5416844262666751,5.477514079206305,110269
Atharvaveda (Saunaka),1.4581373471307622,0.5056444026340545,1.211194731890875,0.023518344308560677,0.12935089369708372,0.0,27.269520225776105,0.0,48.88287864534337,0.7878645343367827,0.023518344308560677,0.29397930385700843,1.7873941674506113,17.96801505174036,20.778457196613356,6.761523988711195,0.0,2.4811853245531514,13.20555032925682,16.69802445907808,0.5056444026340545,1.2464722483537158,10.336312323612418,29.762464722483536,0.011759172154280339,0.011759172154280339,33.819379115710255,1.4463781749764815,138.89934148635936,0.07055503292568203,2.5987770460959547,0.7408278457196613,0.1175917215428034,0.25870178739416744,0.011759172154280339,1127.469426152399,4.127469426152399,84.43085606773283,0.0,210.98306679209782,1.0818438381937912,0.4938852304797743,0.15286923800564442,1245.5315145813734,1.2582314205079963,0.0,0.03527751646284102,4.727187206020696,2.3753527751646284,0.2704609595484478,0.0,10.900752587017873,160.12464722483537,0.0,1.0936030103480714,119.29680150517403,85040,0.0,16.944967074317965,6.843838193791157,39.55785512699906,4.127469426152399,14.099247412982127,17.438852304797745,4.303857008466603,101.3758231420508,7.478833490122295,0.10583254938852305,10.736124176857949,0.0,0.047036688617121354,0.011759172154280339,3.598306679209784,0.10583254938852305,1.1288805268109126,3.1749764816556914,36.70037629350894,0.03527751646284102,5.644402634054563,0.12935089369708372,84.43085606773283,16.69802445907808,10.336312323612418,160.12464722483537,119.29680150517403,0.011759172154280339,16.944967074317965,2.4811853245531514,13.20555032925682,2.5987770460959547,4.303857008466603,3.1749764816556914,27.269520225776105,0.0,0.011759172154280339,138.89934148635936,17.96801505174036,0.5056444026340545,0.047036688617121354,48.88287864534337,0.4938852304797743,1.0936030103480714,0.25870178739416744,101.3758231420508,7.478833490122295,1.4463781749764815,17.438852304797745,0.1175917215428034,0.7408278457196613,1.1288805268109126,1.0818438381937912,2.3753527751646284,1.211194731890875,0.0,0.0,14.099247412982127,10.736124176857949,1.7873941674506113,29.762464722483536,0.29397930385700843,0.2704609595484478,0.0,5.644402634054563,0.0,36.70037629350894,39.55785512699906,0.10583254938852305,4.127469426152399,0.0,0.10583254938852305,0.15286923800564442,0.03527751646284102,6.761523988711195,0.023518344308560677,1245.5315145813734,1127.469426152399,0.7878645343367827,10.900752587017873,0.0,20.778457196613356,1.2582314205079963,0.023518344308560677,0.0,210.98306679209782,0.0,33.819379115710255,0.03527751646284102,0.5056444026340545,3.598306679209784,0.011759172154280339,1.4581373471307622,6.843838193791157,0.07055503292568203,0.011759172154280339,4.127469426152399,1.2464722483537158,4.727187206020696,85040
Kausitaki-Br,7.245820211485777,0.7681081496274675,5.12072099751645,0.17922523491307576,0.02560360498758225,0.204828839900658,31.62045215966408,0.0,89.4589958266124,0.35845046982615153,0.0512072099751645,0.819315359602632,3.1236398084850348,16.693550451903626,82.28998643008936,18.972271295798446,0.0,5.018306577566121,11.496018639424431,44.08940778861663,0.5888829147143918,13.774739483319252,14.389226003021225,45.13915559310751,0.0,0.02560360498758225,27.62628978160125,3.9173515631000844,129.91269170699235,0.0,1.203369434416366,10.062216760119826,1.5874235092300997,0.12801802493791126,0.0,1056.6095706275444,39.94162378062831,64.67470619863276,0.0,180.96628005223135,0.8449189645902143,0.0512072099751645,0.17922523491307576,1347.1592800266276,1.4850090892797707,0.4352612847888983,0.0512072099751645,51.079191950226594,4.608648897764805,0.3328468648385693,0.0,22.223929129221393,167.54999103873826,0.0,5.376757047392273,83.2373198146299,39057,0.0,24.45144276314105,38.61023632127404,52.87144429935735,2.4835496837954785,16.181478352151984,23.964974268376988,8.42358604091456,85.82328391837571,10.77911769977213,1.2545766443915303,17.64088383644417,0.0,0.12801802493791126,0.0,3.3284686483856927,1.8434595591059222,20.4828839900658,2.7907929436464656,84.64551808894693,0.17922523491307576,2.713982128683719,0.02560360498758225,64.67470619863276,44.08940778861663,14.389226003021225,167.54999103873826,83.2373198146299,0.02560360498758225,24.45144276314105,5.018306577566121,11.496018639424431,1.203369434416366,8.42358604091456,2.7907929436464656,31.62045215966408,0.0,0.0,129.91269170699235,16.693550451903626,0.7681081496274675,0.12801802493791126,89.4589958266124,0.0512072099751645,5.376757047392273,0.12801802493791126,85.82328391837571,10.77911769977213,3.9173515631000844,23.964974268376988,1.5874235092300997,10.062216760119826,20.4828839900658,0.8449189645902143,4.608648897764805,5.12072099751645,0.0,0.0,16.181478352151984,17.64088383644417,3.1236398084850348,45.13915559310751,0.819315359602632,0.3328468648385693,0.0,2.713982128683719,0.0,84.64551808894693,52.87144429935735,1.2545766443915303,2.4835496837954785,0.4352612847888983,1.8434595591059222,0.17922523491307576,0.17922523491307576,18.972271295798446,0.17922523491307576,1347.1592800266276,1056.6095706275444,0.35845046982615153,22.223929129221393,0.0,82.28998643008936,1.4850090892797707,0.0512072099751645,0.0,180.96628005223135,0.204828839900658,27.62628978160125,0.0512072099751645,0.5888829147143918,3.3284686483856927,0.0,7.245820211485777,38.61023632127404,0.0,0.0,39.94162378062831,13.774739483319252,51.079191950226594,39057
Pancavimsa-Br,19.451523157131838,0.5143431604049283,3.3666097771958943,0.0,0.7013770369158113,0.0,34.90519720384354,0.0,85.00689687419634,0.09351693825544151,0.023379234563860377,0.3273092838940453,1.1923409627568793,17.417529750075982,80.58822154162674,12.578028195356882,0.0,3.4133682463236155,14.19119538026325,57.1154700395109,0.37406775302176604,2.9224043204825474,15.710845626914175,31.819138241413977,0.0,0.0,35.559815771631634,1.659925654034087,71.70411240735979,0.0,2.3145442218221772,0.4442054567133472,0.07013770369158115,0.023379234563860377,0.09351693825544151,1299.1139270100296,15.383536343020129,62.72648633483739,0.0,260.07060528838286,0.1168961728193019,0.07013770369158115,0.023379234563860377,1436.9812732331145,0.2805508147663246,0.07013770369158115,0.25717158020246417,35.5831950061955,1.1222032590652984,0.2337923456386038,0.0,22.444065181305962,193.4164075468169,0.0,2.3145442218221772,131.2977813106399,42773,0.0,40.890281252191805,18.703387651088303,40.5395927337339,1.1455824936291585,19.03069693498235,10.029691627896103,6.1721179248591405,78.13340191242139,15.173123231945386,0.25717158020246417,17.020082762490354,0.18703387651088302,0.023379234563860377,0.0,4.395296098005751,0.16365464194702264,18.44621607088584,4.114745283239427,81.80394173894746,0.07013770369158115,25.062539452458324,0.7013770369158113,62.72648633483739,57.1154700395109,15.710845626914175,193.4164075468169,131.2977813106399,0.0,40.890281252191805,3.4133682463236155,14.19119538026325,2.3145442218221772,6.1721179248591405,4.114745283239427,34.90519720384354,0.18703387651088302,0.0,71.70411240735979,17.417529750075982,0.5143431604049283,0.023379234563860377,85.00689687419634,0.07013770369158115,2.3145442218221772,0.023379234563860377,78.13340191242139,15.173123231945386,1.659925654034087,10.029691627896103,0.07013770369158115,0.4442054567133472,18.44621607088584,0.1168961728193019,1.1222032590652984,3.3666097771958943,0.0,0.0,19.03069693498235,17.020082762490354,1.1923409627568793,31.819138241413977,0.3273092838940453,0.2337923456386038,0.0,25.062539452458324,0.0,81.80394173894746,40.5395927337339,0.25717158020246417,1.1455824936291585,0.07013770369158115,0.16365464194702264,0.023379234563860377,0.07013770369158115,12.578028195356882,0.0,1436.9812732331145,1299.1139270100296,0.09351693825544151,22.444065181305962,0.0,80.58822154162674,0.2805508147663246,0.023379234563860377,0.0,260.07060528838286,0.0,35.559815771631634,0.25717158020246417,0.37406775302176604,4.395296098005751,0.09351693825544151,19.451523157131838,18.703387651088303,0.0,0.0,15.383536343020129,2.9224043204825474,35.5831950061955,42773
Satapatha-Br,10.170267002189613,0.3725611948102879,6.52962515114873,0.15686787149906858,0.0,0.35295271087290436,13.6082878525442,0.0,6.503480505898886,0.006536161312461191,0.16994019412399097,0.05228929049968953,3.8432628517271805,20.340534004379226,121.78829373508938,24.124971404294257,0.0,14.667145985162914,0.5228929049968953,94.3494885453773,0.49674825974705056,8.059086898264649,16.19007157096637,38.45877316252165,0.006536161312461191,0.0,43.171345468806166,1.3464492303670055,150.18791463773326,0.03268080656230596,0.0,7.353181476518841,0.3333442269355208,0.013072322624922382,0.08497009706199549,1796.3136050197718,35.31487957122781,69.15912284715186,0.0,307.624432170986,0.0,0.05882545181215072,0.2418379685610641,1896.316873100428,0.0,0.03268080656230596,0.21569332331121932,27.634890029085916,1.7451550704271381,0.11111474231184026,0.0,1.8170528448642114,265.8518252230465,0.006536161312461191,1.9150952645511292,155.07042713814175,152995,0.0,30.262426876695315,14.020066015229256,50.884015817510374,0.5882545181215073,22.935390045426324,7.124415830582699,2.4641328147978694,121.13467760384326,12.209549331677504,0.49674825974705056,18.412366417203177,0.20262100068629693,0.0,0.0,3.8171182064773355,0.5686460341841236,21.020294780875194,3.104676623419066,123.52691264420406,0.05228929049968953,144.01777835876987,0.0,69.15912284715186,94.3494885453773,16.19007157096637,265.8518252230465,155.07042713814175,0.0,30.262426876695315,14.667145985162914,0.5228929049968953,0.0,2.4641328147978694,3.104676623419066,13.6082878525442,0.20262100068629693,0.0,150.18791463773326,20.340534004379226,0.3725611948102879,0.0,6.503480505898886,0.05882545181215072,1.9150952645511292,0.013072322624922382,121.13467760384326,12.209549331677504,1.3464492303670055,7.124415830582699,0.3333442269355208,7.353181476518841,21.020294780875194,0.0,1.7451550704271381,6.52962515114873,0.0,0.0,22.935390045426324,18.412366417203177,3.8432628517271805,38.45877316252165,0.05228929049968953,0.11111474231184026,0.006536161312461191,144.01777835876987,0.0,123.52691264420406,50.884015817510374,0.49674825974705056,0.5882545181215073,0.03268080656230596,0.5686460341841236,0.2418379685610641,0.05228929049968953,24.124971404294257,0.15686787149906858,1896.316873100428,1796.3136050197718,0.006536161312461191,1.8170528448642114,0.0,121.78829373508938,0.0,0.16994019412399097,0.0,307.624432170986,0.35295271087290436,43.171345468806166,0.21569332331121932,0.49674825974705056,3.8171182064773355,0.08497009706199549,10.170267002189613,14.020066015229256,0.03268080656230596,0.006536161312461191,35.31487957122781,8.059086898264649,27.634890029085916,152995
Gopatha-Br,6.28174284950548,0.7016840417000801,3.040630847367014,0.0,0.5012028869286287,0.0,40.86474204758086,0.0,97.23336006415397,0.03341352579524191,0.06682705159048383,0.4343758353381449,1.937984496124031,15.236567762630312,86.87516706762898,23.79043036621224,0.0,4.87837476610532,16.138732959101844,54.66452820101577,0.8019246190858059,8.620689655172413,12.931034482758621,27.499331729484098,0.0,0.03341352579524191,32.444533547179894,1.3031275060144347,92.72253408179631,0.0,3.3747661053194333,8.55386260358193,0.36754878374766103,0.13365410318096765,0.0,1340.483827853515,29.069767441860463,65.056134723336,0.0,230.68698209035017,0.0,0.16706762897620958,0.06682705159048383,1352.9804865009355,0.6682705159048383,0.06682705159048383,0.0,32.74525527933707,2.1384656508954825,0.2673082063619353,0.0,19.747393744987974,211.37396418070034,0.0,6.3485699010959635,108.86126704089816,29928,0.0,26.797647687784014,28.06736166800321,36.38732959101844,0.36754878374766103,14.50147019513499,11.89521518310612,11.761561079925153,76.38331996792301,8.921411387329591,0.40096230954290296,11.260358192996526,0.03341352579524191,0.03341352579524191,0.0,3.9427960438385456,0.40096230954290296,15.036086607858861,1.3365410318096766,87.91098636728148,0.06682705159048383,27.632985832665064,0.5012028869286287,65.056134723336,54.66452820101577,12.931034482758621,211.37396418070034,108.86126704089816,0.03341352579524191,26.797647687784014,4.87837476610532,16.138732959101844,3.3747661053194333,11.761561079925153,1.3365410318096766,40.86474204758086,0.03341352579524191,0.0,92.72253408179631,15.236567762630312,0.7016840417000801,0.03341352579524191,97.23336006415397,0.16706762897620958,6.3485699010959635,0.13365410318096765,76.38331996792301,8.921411387329591,1.3031275060144347,11.89521518310612,0.36754878374766103,8.55386260358193,15.036086607858861,0.0,2.1384656508954825,3.040630847367014,0.0,0.0,14.50147019513499,11.260358192996526,1.937984496124031,27.499331729484098,0.4343758353381449,0.2673082063619353,0.0,27.632985832665064,0.0,87.91098636728148,36.38732959101844,0.40096230954290296,0.36754878374766103,0.06682705159048383,0.40096230954290296,0.06682705159048383,0.06682705159048383,23.79043036621224,0.0,1352.9804865009355,1340.483827853515,0.03341352579524191,19.747393744987974,0.0,86.87516706762898,0.6682705159048383,0.06682705159048383,0.0,230.68698209035017,0.0,32.444533547179894,0.0,0.8019246190858059,3.9427960438385456,0.0,6.28174284950548,28.06736166800321,0.0,0.0,29.069767441860463,8.620689655172413,32.74525527933707,29928
Aitareya-Up,4.092769440654843,2.728512960436562,2.728512960436562,0.0,0.0,0.0,36.834924965893585,0.0,136.4256480218281,0.0,0.0,9.549795361527966,12.278308321964529,13.642564802182811,46.384720327421554,0.0,0.0,1.364256480218281,13.642564802182811,54.570259208731244,0.0,2.728512960436562,5.457025920873124,17.735334242837656,0.0,0.0,49.113233287858115,0.0,109.14051841746249,0.0,1.364256480218281,2.728512960436562,0.0,0.0,0.0,1350.6139154160983,19.099590723055933,70.94133697135062,0.0,201.9099590723056,0.0,0.0,0.0,1126.8758526603003,0.0,0.0,0.0,21.828103683492497,0.0,0.0,0.0,66.84856753069577,163.71077762619373,0.0,0.0,111.86903137789903,733,0.0,19.099590723055933,36.834924965893585,21.828103683492497,1.364256480218281,15.006821282401091,12.278308321964529,1.364256480218281,100.9549795361528,12.278308321964529,0.0,13.642564802182811,1.364256480218281,0.0,0.0,0.0,0.0,6.8212824010914055,4.092769440654843,46.384720327421554,0.0,31.377899045020467,0.0,70.94133697135062,54.570259208731244,5.457025920873124,163.71077762619373,111.86903137789903,0.0,19.099590723055933,1.364256480218281,13.642564802182811,1.364256480218281,1.364256480218281,4.092769440654843,36.834924965893585,1.364256480218281,0.0,109.14051841746249,13.642564802182811,2.728512960436562,0.0,136.4256480218281,0.0,0.0,0.0,100.9549795361528,12.278308321964529,0.0,12.278308321964529,0.0,2.728512960436562,6.8212824010914055,0.0,0.0,2.728512960436562,0.0,0.0,15.006821282401091,13.642564802182811,12.278308321964529,17.735334242837656,9.549795361527966,0.0,0.0,31.377899045020467,0.0,46.384720327421554,21.828103683492497,0.0,1.364256480218281,0.0,0.0,0.0,0.0,0.0,0.0,1126.8758526603003,1350.6139154160983,0.0,66.84856753069577,0.0,46.384720327421554,0.0,0.0,0.0,201.9099590723056,0.0,49.113233287858115,0.0,0.0,0.0,0.0,4.092769440654843,36.834924965893585,0.0,0.0,19.099590723055933,2.728512960436562,21.828103683492497,733
