feature,R²,β (slope),p-value,Spearman ρ,Spearman p,MK trend,% change,first_val,last_val,abs_pct_change,Cohen's d
agent_nouns_tar,0.2881117182568307,-0.0514412664285945,0.0146812798871976,-0.4486444634205372,0.0472412099066387,decreasing,-58.24596805693394,1.4301395640583348,0.5971409304073427,58.24596805693394,-1.8932315000098672
genitive_plural_thematic,0.2414858494725622,-0.0735322293837016,0.0277740816597697,-0.6370816546811701,0.0025192824778199,decreasing,-55.75834518533757,2.327113062568606,1.029553328288522,55.75834518533757,-1.452527163063719
correlatives_ya_ta,0.0282518815324037,0.0150151118421946,0.4787257105291018,-0.1305669673722477,0.5832296228902581,decreasing,-54.99481985224585,0.1944488003763525,0.0875120329045243,54.99481985224585,0.3041384436260714
retroflex_assimilation,0.060988608020729,0.276049035844956,0.2938609967482912,0.3338345864661654,0.1502992270734281,increasing,48.12233275646459,14.175944801630862,20.99774013044441,48.12233275646459,2.020333361065309
aorist_root,0.0010844832410027,0.0738023744364927,0.8903764039128109,-0.0150375939849624,0.9498276950483328,no trend,46.83472565589052,8.925827191469343,13.106213869112889,46.83472565589052,-0.06765167907863319
subjunctive_ati,0.0734688105437243,-0.1541344164654355,0.2477107506965426,-0.4796992481203006,0.0323260692002142,decreasing,-36.995747638513095,2.214207307511369,1.3950447598309472,36.995747638513095,-0.8501895027552444
medial_voiced_aspirates,0.1111610465772432,2.30199696300528,0.1508530247302075,0.2165413533834586,0.3591457825704002,increasing,35.88783390238696,209.72871256076525,284.99580457018726,35.88783390238696,1.263936773130027
instrumental_archaic_a,0.4249848170877551,-2.217797027643065,0.0018422689060506,-0.6676691729323309,0.0012967923499898,decreasing,-34.251052910579816,109.14222988866238,71.75986698170998,34.251052910579816,-2.613676303886662
visarga_final,0.193093953749849,1.642245309988141,0.0525543509928143,0.4872180451127819,0.0293419919037082,increasing,33.95499333875882,87.08797240081543,116.65868762837243,33.95499333875882,1.581574224403284
n_infix_presents,0.3469676807632462,0.970062994659115,0.0062811454396857,0.7203007518796991,0.0003412328956726,increasing,30.911668937829255,38.06805708013172,49.83552885580591,30.911668937829255,3.0578038966759222
