,Rigveda,Yajurveda,Samaveda,Atharvaveda,Kausitaki-Br,Pancavimsa-Br,Satapatha-Br,Gopatha-Br,Brhadaranyaka-Up,Chandogya-Up,Aitareya-Up,Mandukya-Up
retroflex_l,4.208875646855888,0.2508780732563974,0.0,0.12935089369708372,0.02560360498758225,0.7013770369158113,0.0,0.5012028869286287,0.0,0.6411626415900834,0.0,0.0
subjunctive_ati,2.214207307511369,4.835891136218143,2.3561443007487304,2.4811853245531514,5.018306577566121,3.4133682463236155,9.649122807017545,4.87837476610532,1.9373978325361747,3.205813207950417,1.364256480218281,0.0
subjunctive_an,6.843343264858083,12.258421717390176,0.8377401958217708,13.20555032925682,11.496018639424431,14.19119538026325,0.7017543859649122,16.138732959101844,10.050251256281408,17.952553964522334,13.642564802182811,10.638297872340425
particle_sma,0.14426846479535832,0.1470664567365088,0.3665113356720247,0.1175917215428034,1.5874235092300997,0.07013770369158115,0.5263157894736842,0.36754878374766103,0.24217472906702184,0.1424805870200185,0.0,0.0
particle_ha,0.7840677434530343,1.04676713324221,0.3665113356720247,0.7408278457196613,10.062216760119826,0.4442054567133472,9.719298245614036,8.55386260358193,6.296542955742568,12.324570777231601,2.728512960436562,15.957446808510637
particle_vai,0.03136270973812137,13.720435316711939,0.0,1.1288805268109126,20.4828839900658,18.44621607088584,22.52631578947368,15.036086607858861,11.927105406550826,7.266509938020945,6.8212824010914055,10.638297872340425
long_compounds,2.672102869687941,16.35032960188245,50.84035813393371,5.644402634054563,2.713982128683719,25.062539452458324,141.08771929824562,27.632985832665064,13.440697463219712,14.817981050081926,31.377899045020467,53.191489361702125
aorist_is,0.570801317233809,0.35468968977628595,0.0,0.7878645343367827,0.35845046982615153,0.09351693825544151,0.0,0.03341352579524191,0.12108736453351092,0.0,0.0,0.0
infinitive_tum,0.7338874078720402,0.40659549803623024,0.5759463846274674,0.29397930385700843,0.819315359602632,0.3273092838940453,0.03508771929824561,0.4343758353381449,0.5448931404007992,0.4986820545700648,9.549795361527966,0.0
gerund_tvaa,0.9283362082483927,1.470664567365088,1.3613278182103776,1.7873941674506113,3.1236398084850348,1.1923409627568793,4.140350877192982,1.937984496124031,3.9958830296058605,1.638526750730213,12.278308321964529,0.0
injunctive,8.925827191469343,14.369257919961244,5.968898895230117,10.900752587017873,22.223929129221393,22.444065181305962,1.1578947368421053,19.747393744987974,13.985590603620512,13.53565576690176,66.84856753069577,10.638297872340425
precative,0.5833464011290576,3.581500769936156,0.314152573433164,1.0936030103480714,5.376757047392273,2.3145442218221772,3.403508771929825,6.3485699010959635,6.235999273475813,3.9182161430505094,0.0,0.0
benedictive,0.01254508389524855,0.13841548869318476,0.0,0.25870178739416744,0.12801802493791126,0.023379234563860377,0.0,0.13365410318096765,0.12108736453351092,0.0,0.0,0.0
instrumental_a,109.14222988866238,121.26927003131651,132.15351589088434,101.3758231420508,85.82328391837571,78.13340191242139,114.10526315789474,76.38331996792301,71.68371980383847,68.24820118258887,100.9549795361528,74.46808510638297
gen_plural_am,17.69484083424808,12.396837206083362,4.398136028064297,17.438852304797745,23.964974268376988,10.029691627896103,7.12280701754386,11.89521518310612,8.294484470545498,7.693951699081,12.278308321964529,5.319148936170213
dual_forms,16.032617218127648,16.462792186445665,16.754803916435417,17.96801505174036,16.693550451903626,17.417529750075982,17.789473684210524,15.236567762630312,14.651571108554823,11.46968725511149,13.642564802182811,5.319148936170213
particle_id,1.7876744550729182,0.2854819454296936,0.0,1.0818438381937912,0.8449189645902143,0.1168961728193019,0.0,0.0,0.0,0.0,0.0,0.0
particle_u,2.5403794887878313,0.7526342197691922,1.1518927692549348,2.3753527751646284,4.608648897764805,1.1222032590652984,1.7543859649122808,2.1384656508954825,1.9979415148029303,2.137208805300278,0.0,0.0
adverb_tra,1.8253097067586639,1.6004290880149488,1.4660453426880988,2.034336782690499,4.762270527690299,1.4027540738316226,4.385964912280701,2.8735632183908044,2.6639220197372406,2.137208805300278,1.364256480218281,5.319148936170213
